piRNA_name,piRNA_id,N58,N60,N70,N82,N83,N84,N85,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
hsa_piR_020485,DQ598159,8.455422754507449,9.373319643755622,9.075342402365855,9.285851033676693,8.367354342804255,7.807741677107867,9.704869577906495,10.288441478736155,10.105361560507687,8.400049099925848,9.827009061852173,7.3276854525585025,8.001009282043373,7.098473657840137,8.501758627208826,7.84976496938154,6.253276601860987,10.224737102182962,9.270381510516359,7.688590006802611,7.952950096002207,10.42228709845005,9.734947199261851,7.500889164583695,9.607077113412645,5.609805077070958,8.907565417570087,9.776856136781408,8.334246556456753,8.376529630446448,8.329636663540716,11.33785703255077,11.704795181742506,16.539829389467556,10.122035926648405,8.689609159732065,10.02568548478702,11.541256315921206,10.354854930961663,10.436413924046438,7.271395365166291,10.588500923962375,10.11367943931364,6.759121142164855,7.952573768584369,8.953182518577304,8.218316126727261,9.438432031648635,8.461454271967007,8.430144167563975,10.38993955635929,11.26567612059251,9.579826438565009,9.05561659792016,9.348096782250805,8.292342535471043,6.9958548034318495,10.333094254046216,8.33602763152042,6.861324586381569,6.98899102555047,7.906521162037241,10.203794271728318,8.135730632871233,8.930685840140024,12.191743837854501
hsa_piR_013624,DQ588594,5.569474749080261,7.201653205371779,6.196311017214089,6.55573106709364,6.093038338079132,5.927075848651928,8.26392226435506,7.172626487894232,5.457151507546299,5.638432856797246,9.043584800258039,5.963472231209598,5.465457507118309,0.0,0.0,0.0,0.0,7.510618186068102,5.54440499031731,8.840009659909537,5.377385461476665,7.530207958465325,8.240006061444909,5.002570125975566,7.115819367249041,0.0,6.398203343052892,6.84917891157568,5.111585954196156,8.931533195937845,0.0,10.062045662225158,0.0,13.611739009642063,6.4492898545174056,5.99836345718908,0.0,8.371306024893011,10.446417609588616,6.007315278434329,0.0,6.8277309515620255,8.574595901542597,0.0,5.953900133438018,7.58230732626928,5.424334929897246,5.0871131005601375,0.0,5.865944632960937,7.766487188046813,9.290745833158546,6.197798508078505,5.960776967910742,8.219485191391815,5.696907243376339,4.804422200547966,7.768750281119667,5.926628162284766,6.251255819858304,0.0,8.277122753441411,7.552066878738713,6.291152144953451,6.5959156327884125,7.592273340933371
hsa_piR_008488,DQ581533,5.29586230264354,7.322848852492046,6.115005704234573,5.508234296922651,0.0,0.0,6.770000902445762,6.468482730551949,0.0,0.0,6.985606476550761,0.0,0.0,0.0,5.678229463006956,0.0,0.0,6.464665308954976,5.900089088287155,6.051421526998662,7.320931671004813,6.596264159899375,7.113234073413584,0.0,5.831381861460089,0.0,5.890942328353282,5.913219133205958,5.759094771765199,6.757546570829122,0.0,9.612374065422554,0.0,12.883551965731803,0.0,0.0,6.0971629346628715,7.770898799123138,8.73019747067173,5.433523467969822,5.752976961450523,7.99058277807273,8.084279282209282,0.0,6.974376670871678,5.973414911319857,0.0,6.201278417483078,0.0,0.0,6.869534356377071,9.77928676495711,0.0,5.818823250693883,7.584741765684913,7.329895382888999,4.804422200547966,6.514947655338917,7.420174413875663,6.731261306093764,0.0,7.4458224954065795,7.254279507757356,7.410399541434399,5.54796449958601,8.339261066461766
hsa_piR_014629,DQ590023,0.0,0.0,5.937206113006141,7.696150203333609,0.0,7.9414703106809865,6.191632846869915,7.393589633932403,6.883660191191035,5.89663207384633,7.167114650654695,0.0,5.806366962213636,5.689865400261172,0.0,0.0,0.0,0.0,5.439865758344069,6.241344939473572,5.255006338803302,5.553434083219638,7.26969699163534,0.0,8.132896687765347,0.0,7.709831751588181,6.490179591958125,5.111585954196156,5.538490547276935,5.069210446492612,6.932077263897442,7.429411149083608,12.252610603995032,7.226620984287372,6.575783712050766,5.566141953053081,7.020545395777252,7.431397775610836,0.0,6.589034834929779,6.942230872225451,7.176424877034421,0.0,5.098696846156639,7.694217354141195,6.513139094321957,0.0,0.0,0.0,6.259428209092028,8.110448361632212,5.4997583233077405,5.818823250693883,0.0,6.8284156150047535,4.804422200547966,6.441777118313387,6.221734413640607,6.047715709656218,5.209753791146931,0.0,0.0,0.0,6.165070847653336,7.455517229114855
hsa_piR_020008,DQ597482,6.32736655083136,7.283570774679943,6.196311017214089,8.7343882106495,9.026262163308797,7.698625428755019,9.824402194660546,7.754251807612638,5.693098372586347,6.473499739937603,7.940533550008318,0.0,0.0,5.161945156337543,6.050224569523513,4.194153928428656,5.272066287390851,7.841563787955066,0.0,6.9884423346854385,0.0,7.232447637306954,8.634789042230222,0.0,10.344894576600222,0.0,9.016053613097197,6.102868644258507,5.966961735704109,8.598301778353513,5.069210446492612,10.19672205062971,0.0,13.418974362453383,0.0,6.439791795171574,5.566141953053081,6.928176580041671,8.556136458319314,6.007315278434329,7.05876390984477,6.157259325052188,7.729623112786523,5.73559890289929,6.841194464734557,10.55608949238121,6.351534538426871,0.0,5.5437603883153,0.0,7.6626473669288995,9.30390028117577,5.840832961263061,5.0487965796096255,0.0,5.4791427497560194,8.39997956272369,6.714522389259038,6.968724902801255,6.588300041745636,0.0,8.739245061062158,7.872456686556272,8.208234682437908,7.588439088072834,10.665393637118393
hsa_piR_000651,DQ570812,6.058086091948914,7.603645721365061,6.028843208245961,5.947215635041806,0.0,0.0,0.0,7.806480561788478,5.798020366314804,5.89663207384633,8.19591696996937,0.0,0.0,0.0,6.050224569523513,0.0,5.016479766216227,6.350548691063943,6.119026154526378,7.872175145188644,6.47405205896397,6.4138714492265985,6.73784514017748,5.002570125975566,6.03445052250509,0.0,5.785896082284814,5.913219133205958,4.85687322235841,6.179235557850068,0.0,8.955544582801725,0.0,12.255051213114303,0.0,5.254911352175443,0.0,8.014978829612078,9.193665730416717,6.4167348290468675,6.420981832562308,7.147116696550518,8.542260423830381,0.0,5.953900133438018,6.627895579267209,5.5288484245901195,0.0,7.244508653396407,0.0,6.669749983110557,10.136248534213234,0.0,0.0,7.154410278776979,6.6309862531078245,5.463001891253618,8.040627760376978,7.380880009763845,7.1931741174588195,0.0,7.046381367063586,0.0,5.624091622470987,0.0,8.084865930577413
hsa_piR_001184,DQ571550,7.761750475083495,9.306309031087073,8.259220262589642,7.999679092681983,7.259531220548759,7.698625428755019,9.081314784238913,9.316858711613044,6.374313658879128,6.942877902692402,10.21302311081708,7.044246476208257,7.26779320214086,5.856681695386769,8.671241331402806,4.8736667969745096,6.982657261292801,8.728482711141504,7.778476009227274,10.217713627303956,8.066464014025797,9.159113821820497,9.70784321501455,7.003758931370902,8.51870998787072,5.336013956619451,7.069846566280467,8.545022968301335,6.090569312252054,14.181633836012061,6.79760410235748,11.116068775153687,7.650607433440769,13.090397965602692,6.860193959460575,8.366055073716002,7.57537072447445,10.170514410019964,11.970269558695177,8.474200383417445,7.4566761336190215,9.28760443040629,10.365449967194424,6.23451393376919,7.096296541009036,8.672626984132537,7.058319239197041,7.562647118636304,8.53431560526644,7.229152526357134,10.619900807267813,10.091434779429974,6.722253125533363,7.079377463593378,9.48254903586205,8.908867339652746,7.525233780568288,9.829795158045613,9.249040210823203,8.163232190086225,6.686806299514335,9.101064727936345,9.429096386164248,7.281911353361405,8.04013291922062,9.86835752836994
hsa_piR_007635,DQ580405,9.633034101376035,8.040583113702906,6.196311017214089,7.2740303332710115,7.292484082686703,6.628318756150698,6.770000902445762,6.592655329243687,6.679087723004562,0.0,7.527452281243009,6.055135902506245,6.081918270885809,5.9333732717404475,7.692391813693383,5.154198255183832,6.192698108907841,7.006985472096322,7.414720723337957,0.0,7.493241432043753,7.338677406681693,8.265014767019546,7.288038185336074,6.872631803849771,5.231843597055678,6.716706372831077,6.739148303100518,5.425144095850045,11.959862230186847,5.8105147228228535,8.109870559074484,5.603012433339521,7.101459865757268,5.749264710417547,5.932323513446096,6.614296785482643,7.107354460586055,6.030223408642462,7.639661951622425,5.8880464349853945,7.3264909902326005,6.678074262314868,6.38459973907708,6.13552911144644,6.770895538999269,6.29337680241741,6.201278417483078,6.210187839494161,0.0,0.0,6.7813591115965215,0.0,7.14033345352233,6.921731043531839,6.521118969041494,8.72794524361034,8.290297487502258,6.914720053059723,0.0,5.209753791146931,6.057254751703031,0.0,6.377530901353195,5.98717677642901,0.0
hsa_piR_000775,DQ570968,6.6358129640202845,6.761570529453153,6.826697238974477,6.356395724911992,0.0,6.164431507263447,5.783159787149352,7.585161825396129,6.374313658879128,0.0,8.8763215984975,0.0,5.331215479687283,0.0,0.0,0.0,0.0,7.006985472096322,5.641878318257708,8.085450371968575,5.121275860010055,6.949142538210282,8.69123296857896,5.002570125975566,6.643445777506678,0.0,6.398203343052892,6.9999301482271745,5.223849702913516,5.8131103810270215,0.0,8.955544582801725,5.603012433339521,11.63381552909489,0.0,6.659808122651442,7.173425624460942,7.969355042302602,10.372471444280814,5.433523467969822,0.0,6.8277309515620255,8.637170621864616,0.0,5.887893800309171,7.460980873599394,0.0,5.220753046921106,5.91511732326153,6.124850282082459,9.156291157130067,9.76032540690247,0.0,4.915644968148766,7.224317286143497,8.593129703875746,5.058825896901929,8.290297487502258,7.880832271741645,6.429598215324901,0.0,7.484078868329329,0.0,5.995836962170914,6.078864019717483,7.135642522730437
hsa_piR_001318,DQ571823,7.900301833810429,9.246285003406783,8.278018136529596,7.855882406754105,6.7911028437524745,6.705553528939769,6.8283657314186526,9.184972077394614,6.835171826185973,6.115560840408151,10.380516391718256,6.853162071875853,6.631480175362986,0.0,7.977439982174466,5.388959912167292,6.129464021278795,8.366884092273883,7.4951794551236155,10.011449127919498,8.95003598188761,8.695790488096286,9.491804346704496,6.458771803267289,8.50168330201193,5.7671566008395345,7.680826032268615,8.195178996205017,7.049798269551029,8.931533195937845,5.991851265638131,10.223541002894951,7.069230372614501,13.580455847225473,6.860193959460575,8.04521971807435,8.539248380250964,11.037982998259798,11.769942405104043,8.31118838774914,7.271395365166291,7.8800051890370995,11.81744576882779,5.659099838891701,8.308452622781177,7.694217354141195,7.505219813651768,6.981495164219231,8.77881996655329,7.481357358298249,11.579605673053788,10.379320753456694,7.063306208107847,7.14033345352233,10.54438499460949,11.20637517906254,6.25627077865863,9.793493751730953,9.98505708339762,8.538638928559896,7.349035029917708,8.298748410399112,9.219206928292772,7.368828770960568,7.649527267621664,9.105248053697675
hsa_piR_002485,DQ573352,6.5116003528544875,7.571392810088226,6.972308135702192,6.67479792500992,6.016209474625498,0.0,0.0,7.323629237328065,5.457151507546299,7.504666941128275,9.685340445301815,5.647312624334787,5.331215479687283,0.0,5.936560450149959,0.0,0.0,6.84783979828505,5.641878318257708,9.322435408779844,6.418117542971895,7.157017274911754,8.881132740758707,0.0,7.6973105004228195,0.0,6.166753467742496,7.300358875677377,5.111585954196156,7.51502061672893,0.0,9.048472354364101,6.356272928757811,11.717606366000462,5.872558784066486,6.180077359933347,5.689133033334332,9.099485946783924,10.568624007616563,6.845309545740808,6.420981832562308,6.059166795017498,8.331367223553837,0.0,5.953900133438018,7.076475040156503,6.6584511074632164,5.3430563585371935,7.009167373329085,0.0,8.58527014456055,8.752424057994839,5.365439751206008,5.1706908131162,7.957418500126949,6.873822546013067,5.058825896901929,8.331390331453175,7.212036580411224,6.153072304347805,0.0,6.057254751703031,8.009400426275736,0.0,6.7710714741980365,7.222501729509432
hsa_piR_020381,DQ597997,9.286509023094599,10.030548662590311,9.031703311421044,9.51856556047484,9.658496507712092,9.278950643335092,9.449947069474534,11.402590638687165,8.036095920109325,8.174891372981866,10.863530511797402,8.636816014800667,8.18740974934098,6.8038961780288405,8.790541414653054,6.527379206898352,7.656445050759841,10.088972745928727,9.5964091013986,11.267127754692465,10.810662916712063,10.564081678601337,10.310363521626979,7.8310951700800135,9.566715398943355,6.715737360254208,9.346687801568072,9.182241299613432,8.800401923943394,11.592007882108778,7.901049169393402,10.81473063143724,8.364002242190965,13.2309272432989,8.952175949849678,9.779922609705675,8.603210100351886,10.836728254674203,12.655660028590255,9.708901941430787,9.46137615756818,11.769583747193272,13.390836360146151,7.973882477134701,8.831726527953299,10.355092972112146,8.968908330917834,8.102404067376831,10.356576796624754,9.289556410607515,15.066003021174367,11.660253372247025,8.298077478983874,8.419692116426434,11.951966642741414,14.394865299498576,7.740460791804064,11.78304624949703,11.732127817426226,9.666926582461727,9.014328642923399,9.761115498883202,10.622090267426017,8.543269900508939,9.157921540722752,12.11151422369931
hsa_piR_016926,DQ593325,7.215931472644539,5.93547890607822,0.0,5.373897088238492,0.0,7.451999470875883,5.896620356469794,9.017820368985616,0.0,5.89663207384633,8.957453472732354,5.963472231209598,6.631480175362986,5.028465729054986,6.800282607230522,4.4229854145431755,5.586507848449712,7.280667879416969,6.367239976544886,8.43577386788334,7.952950096002207,8.092462077026934,8.406594033239276,5.135976567152069,6.643445777506678,5.119562111575145,7.156677599954503,9.015251856430927,6.20441711222702,8.472009807732885,6.386882993372872,7.3763822915323605,7.017160785445984,8.117813846970877,7.179636321432825,6.700053710759292,6.00545777554561,6.928176580041671,8.128619302523227,7.257206944206904,8.430600925389689,7.908454251879463,8.440663944252796,0.0,6.017018200488487,7.985719063777598,7.2231521321178995,0.0,8.934986740507892,5.865944632960937,6.16123705926579,12.386258987670407,7.50788573494171,6.843131166940097,8.037275066554272,8.697837077572936,5.463001891253618,6.58458557893645,7.701075900983491,7.503199907402552,5.615012313129974,7.192166130164839,8.2495468952302,7.189419846601556,7.27615268589966,8.130503561198015
hsa_piR_018849,DQ595899,0.0,0.0,0.0,0.0,0.0,5.791941462485792,0.0,10.203344243471474,5.457151507546299,8.42074664757615,5.1284953353212615,5.865587051984189,5.99578592832211,6.883368405158235,0.0,0.0,0.0,10.898300723650637,5.819047319439725,7.813538001299397,0.0,0.0,10.716077169548402,0.0,12.12668269165687,0.0,11.062557746542407,0.0,7.514558758627751,8.921902856048977,0.0,11.303703786662506,0.0,7.5776556608351155,6.4492898545174056,0.0,0.0,7.020545395777252,5.906697930429596,6.947537486422478,9.797984722986707,7.4084537100427665,0.0,0.0,0.0,10.128147317387398,8.4621827926425,0.0,5.67844963267302,0.0,9.515463171613076,0.0,8.669842580771748,0.0,0.0,6.733075519020192,7.194687442623927,0.0,0.0,5.675731919659489,0.0,11.00026443979702,7.014988516383771,9.229213140284863,9.189118353581351,13.131131595981964
hsa_piR_015249,DQ590830,6.6358129640202845,7.470068092675965,6.720759370018956,6.78478287080866,6.7911028437524745,6.269909289969888,7.268608030245179,7.754251807612638,6.073545194640993,0.0,6.777930775770948,6.055135902506245,5.99578592832211,5.856681695386769,6.050224569523513,5.27634900514951,0.0,0.0,7.571387064633588,6.327685600860296,7.786209768664059,7.85057426882398,6.419292349501988,5.258084303239459,6.762585064643429,4.864803630395956,6.772762245637916,7.0468722171552995,5.682571433213555,7.136313011047277,6.470786425403491,8.138337309969756,5.737815025946499,11.546849845603694,6.281427117814497,6.987035250428193,6.0971629346628715,7.873536673450202,8.852404933066785,6.735281623861642,6.73953857822875,10.511770904686967,11.085242448321035,0.0,5.953900133438018,5.973414911319857,5.5288484245901195,5.749180626047177,5.67844963267302,6.124850282082459,7.589021480431722,8.225523970087695,5.4997583233077405,6.982824326376718,7.530582998342662,7.889931573776325,5.847510724528651,6.441777118313387,6.609441949871141,5.934054744034286,5.858284441848828,5.952005126248958,0.0,6.809096323626307,6.656694609814534,9.297565654447075
hsa_piR_019675,DQ596992,8.197696145142476,9.306309031087073,8.94025357995228,9.106833208117576,8.304125294319148,8.889724681650572,8.404839997944023,9.924888972500625,8.139549994685842,7.848111202316069,10.507182500728986,8.529038137710318,7.535385487904826,6.583654173972979,8.598361697523467,5.767859047934765,7.412656168652475,9.225942250692162,7.690083877234616,9.985123565633446,7.290100915828916,9.415267538645832,9.973627497221427,7.86992034548689,9.119203998792285,5.909021412843277,8.790250873001566,8.812855762154424,6.955383253096755,11.647112933929264,7.399802896904777,11.546073540673774,8.77794461617241,13.776669983133365,7.823730600164315,8.98663810957175,8.347157191926321,10.150212181955357,12.038068432687224,8.385920446904528,8.024307631557175,11.37010815980207,11.40591498901243,6.520532675106694,7.968628722886372,9.98144404405272,7.4530464769621965,8.170066760958603,8.217790944650215,8.61022425647846,9.65729736294159,10.904713231262095,7.600499654549554,7.227194620243323,9.51079892039935,9.60478964082502,8.020447397628496,9.90658166297446,9.883281627842909,10.159452755884192,6.954502590350613,9.263842220906234,9.675407443166373,8.254622400105966,8.504283721145782,11.31078960421815
