#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
30836	44831	34250	69312	60354	Dmel_CG10109	Dmel_CG3738	L	Cks30A	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CDI2|CG3738|Cks|DmCks1|Dmel\CG3738|U40077|fs(2)rem|rem	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
30837	44831	40257	69312	65515	Dmel_CG10109	Dmel_CG5274	L	CG5274	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Dmel\CG5274	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
32854	34075	43852	60212	68671	Dmel_CG14534	Dmel_CG6741	TwdlE	a	CG14534|Dmel\CG14534	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
33783	48317	43852	71315	68671	Dmel_CG1856	Dmel_CG6741	ttk	a	0037/17|0250/25|0438/31|0702/07|1049/07|1119/04|1184/16|1209/05|1209/10|1260/10|1281/04|1325/15|1372/08|1396/14|1418/06|3540|5125|5311|CG11558|CG1856|Dmel\CG1856|E(yan)100D|FTZ-F2|TTK69|TTK88|TTKA|anon-EST:Liang-2.9|clone 2.9|ftzf2/ttk|l(3)02667|l(3)j2A1|l(3)j7B8|osn|oss|ovs|tramtrak|ttk/FTZ-F2|ttkp69|twk	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
34145	30975	43852	57548	68671	Dmel_CG3114	Dmel_CG6741	ewg	a	CG3114|Dmel\CG3114|EC3|EG:BACR37P7.7|NRF-1|l(1)1Ag|l(1)DA659|l(1)EC3|l(1)EC3f|l(1)VA720|l[EC3]	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
34575	31605	43852	58091	68671	Dmel_CG4094	Dmel_CG6741	l(1)G0255	a	CG 4094|CG4094|Dmel\CG4094|FBgn0029889|l(1)G0290	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38020	43710	43852	68554	68671	Dmel_CG11337	Dmel_CG6741	CG11337	a	Dmel\CG11337	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
39440	30977	43852	57550	68671	Dmel_CG12470	Dmel_CG6741	CG12470	a	Dmel\CG12470|EG:BACR37P7.5|NEST:bs07e10|NEST:bs17h08	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42185	45250	43852	69540	68671	Dmel_CG14813	Dmel_CG6741	deltaCOP	a	63B12S|ARCN1|Arch|CG14813|DM63B12S|Delta COP|Dmel\CG14813|EG:63B12.10|ESTS:63B12S|anon-WO03040301.246|delta-Cop|l(1)G0051|l(1)G0301|l(1)G0450	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
42403	38490	43852	63970	68671	Dmel_CG14996	Dmel_CG6741	Chd64	a	CG-14996|CG14996|CT34849|Dmel\CG14996|anon-EST:Liang-1.80|clone 1.80	Arc|CG13505|CG6741|Dmel\CG6741|bran	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49271	43852	42761	68671	67703	Dmel_CG6741	Dmel_CG6779	a	RpS3	Arc|CG13505|CG6741|Dmel\CG6741|bran	6779|CG6779|DmRpS3|Dmel\CG6779|M|M(3)124|M(3)95A|M(3)B|M(3)B2|M(3)Fla|M(3)w|M(3R)w|M95A|M[[w]]|Mw|RS3|Rp S3|S3|X72921|chr3R:19185518..19185701|dS3	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49272	43852	31834	68671	58290	Dmel_CG6741	Dmel_CG7041	a	HP1b	Arc|CG13505|CG6741|Dmel\CG6741|bran	CG7041|Dmel\CG7041|HP1	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
672189	41086	44831	66254	69312	Dmel_CG11990	Dmel_CG10109	hyx	L	CG11990|Cdc73|Dmel\CG11990|hyx/CDC73	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Synthetic Rescue	genetic	Zhang JH (2012)	22297294	7227	7227	Low Throughput	-	-	-	figure 1. rescue the eye phenotype.	-	BIOGRID
672192	41086	44831	66254	69312	Dmel_CG11990	Dmel_CG10109	hyx	L	CG11990|Cdc73|Dmel\CG11990|hyx/CDC73	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Synthetic Haploinsufficiency	genetic	Zhang JH (2012)	22297294	7227	7227	Low Throughput	-	-	-	figure 1. triple mutant had NOG eye phenotypes (notch and dysplastic overgrowth).	-	BIOGRID
2299077	31293	44831	57823	69312	Dmel_CG3936	Dmel_CG10109	N	L	1.1|16-178|16-55|Ax|CG3936|CT13012|Chp|Co|Dmel\CG3936|EG:140G11.1|EG:163A10.2|NECD|NICD|RICN|anon-EST:Liang-1.12|clone 1.12|dNotch|fa|l(1)3Cb|l(1)Ax|l(1)N|n[fah]|nd|notch|shd|spl|swb	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Phenotypic Suppression	genetic	Chern JJ (2002)	12163404	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2299636	31805	44835	58264	69315	Dmel_CG12108	Dmel_CG9369	Ppt1	m	CG12108|DmPpt1|Dmel\CG12108	CG9369|Dmel\CG9369|Min	Phenotypic Suppression	genetic	Buff H (2007)	17409080	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309974	44831	31248	69312	57779	Dmel_CG10109	Dmel_CG2621	L	sgg	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG2621|DMSGG3|DMZ3K25Z|Dm Zw3|Dmel\CG2621|EG:155E2.3|EG:BACR7C10.8|GSK|GSK-3|GSK-3B|GSK-3beta|GSK-3betaSgg|GSK3|GSK3-beta|GSK3Beta|GSK3beta/SGG|GSK3betagr|GSKbeta|SGG/GSK3b|Sgg/GSK-3b|Sgg/Zw3/GSK3|ZW-3|ZW3|Zw3-sh|Zw3/GSK3|Zw3[sgg]|anon-WO03040301.254|l(1)3Ba|l(1)G0055|l(1)G0183|l(1)G0263|l(1)G0335|l(1)zw3|sgg-zw3|sgg/zw3|sgg10|sgg39|sgg46|zw3(sgg)|zw3/GSK3beta|zw3/sgg|zw[3]	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309975	44831	31248	69312	57779	Dmel_CG10109	Dmel_CG2621	L	sgg	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG2621|DMSGG3|DMZ3K25Z|Dm Zw3|Dmel\CG2621|EG:155E2.3|EG:BACR7C10.8|GSK|GSK-3|GSK-3B|GSK-3beta|GSK-3betaSgg|GSK3|GSK3-beta|GSK3Beta|GSK3beta/SGG|GSK3betagr|GSKbeta|SGG/GSK3b|Sgg/GSK-3b|Sgg/Zw3/GSK3|ZW-3|ZW3|Zw3-sh|Zw3/GSK3|Zw3[sgg]|anon-WO03040301.254|l(1)3Ba|l(1)G0055|l(1)G0183|l(1)G0263|l(1)G0335|l(1)zw3|sgg-zw3|sgg/zw3|sgg10|sgg39|sgg46|zw3(sgg)|zw3/GSK3beta|zw3/sgg|zw[3]	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309977	44831	31310	69312	57835	Dmel_CG10109	Dmel_CG10798	L	dm	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG10798|D-Myc|DMYc|Dmel\CG10798|EG:BACN5I9.1|MYC|anon-WO03040301.171|bHLHe57|c-MYC|dMyc1|dm/dMyc|dm/myc|l(1)G0139|l(1)G0354|l(1)G0359	Phenotypic Suppression	genetic	Wang YH (2009)	19733656	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309978	44831	31669	69312	58145	Dmel_CG10109	Dmel_CG1435	L	CBP	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BcDNA.GH12350|BcDNA:GH12350|CG1435|Dmel\CG1435|dCBP	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309980	44831	32256	69312	58642	Dmel_CG10109	Dmel_CG4353	L	hep	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG2190|CG4353|D-MKK7|DHEP/MKK7|DJNKK|DMKK7|Dmel\CG4353|HEP/MKK7|JNKK|MAP2K7|MAPKK|MKK7|hem|hep/JNKK|hp|hrp|l(1)7P1|l(1)G0107|l(1)G0208	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309981	44831	32321	69312	58698	Dmel_CG10109	Dmel_CG11172	L	NFAT	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG11172|Dmel\CG11172|EP1335|MESR1|NF-AT5|NFAT5|dNFAT	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309983	44831	32976	69312	59272	Dmel_CG10109	Dmel_CG14226	L	dome	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	142932_at|CG14226|CT33841|Dmel\CG14226|anon-18DEb|l(1)G0217|l(1)G0218|l(1)G0264|l(1)G0282|l(1)G0321|l(1)G0367|l(1)G0405|l(1)G0441|l(1)G0468|mom|vsp	Phenotypic Suppression	genetic	Wang YH (2009)	19733656	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309984	44831	33196	69312	59452	Dmel_CG10109	Dmel_CG11561	L	smo	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG11561|Dmel\CG11561|dSmo	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309985	44831	33225	69312	59481	Dmel_CG10109	Dmel_CG2762	L	ush	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG2762|Dmel\CG2762|FOG|ZFPM2|dFOG|l(2)19|u-sh|ushaped	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309987	44831	33952	69312	60104	Dmel_CG10109	Dmel_CG9258	L	nrv1	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	42kDa|CG9258|Dmel\CG9258|K-ATPase|NKA-alpha|Na|NaK ATPase|Na[+]/K[+] ATPase|Na[+]/K[+]-ATPase|Na[+]/K[+]ATPase|Nrv|nervana	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309989	44831	34009	69312	60155	Dmel_CG10109	Dmel_CG4889	L	wg	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Br|CG4889|DWint-1|DWnt-1|Dint-1|Dm Wg|Dm-1|Dmel\CG4889|Gla|I|Sp|WNT|Wnt-1|Wnt/Wg|Wnt1|dWnt|fg|int-1|l(2)02657|l(2)rO727|l(2)wg|spd|wgl	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309990	44831	34688	69312	60732	Dmel_CG10109	Dmel_CG12283	L	kek1	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BEST:GM02380|CG12283|CT18186|Dmel\CG12283|Dmkek1|GM02380|Kek|Kek-1|NB1|SD01674|kekon|l(2)01433|n(2)k07332|uns	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309991	44831	34847	69312	60871	Dmel_CG10109	Dmel_CG4491	L	noc	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BG:DS04641.1|CG4491|Dmel\CG4491|br22|el|l(2)35Ba|l(2)35Ba/nocA|l(2)br22|l35Ba|nocA|noc[A]	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309993	44831	34903	69312	60919	Dmel_CG10109	Dmel_CG3758	L	esg	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	4B7|BG:DS07851.7|CG3758|Dmel\CG3758|br43|dgl|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309994	44831	35780	69312	61637	Dmel_CG10109	Dmel_CG8711	L	Cul4	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG8711|Cul-4|Cullin4|DMcul-4|Dmel\CG8711|dCul4	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309995	44831	35966	69312	61798	Dmel_CG10109	Dmel_CG8804	L	wun	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG8804|Dmel\CG8804|LPP-like|Wunen|l(2)k16806	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309997	44831	37960	69312	63530	Dmel_CG10109	Dmel_CG16936	L	GstE12	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BcDNA:GH04753|CG16936|Dmel\CG16936|GST	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2309999	44831	38091	69312	63646	Dmel_CG10109	Dmel_CG1007	L	emc	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	0094/26|0203/10|0587/01|0977/09|Ach|CG1007|Dm0688|Dmel\CG1007|bHLHb28|gov|l(3)04322|l(3)05592|l(3)61Da|l(3)j4E11|ms(3)61CD	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310002	44831	39385	69312	64739	Dmel_CG10109	Dmel_CG6811	L	RhoGAP68F	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG 6811|CG6811|Dmel\CG6811	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310005	44831	39453	69312	64800	Dmel_CG10109	Dmel_CG42709	L	CG42709	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG17667|Dmel\CG42709|Dmel_CG17667|EP(3)3622|EP3622	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310006	44831	39753	69312	65064	Dmel_CG10109	Dmel_CG12284	L	th	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	0736/01|1065/03|CG12284|D-IAP1|DIAP|DIAP I|DIAP-1|DIAP1|DIAPI|Diap-1/Th|Diap2|Dmel\CG12284|E(rpr)3-1|IAP|IAP1|S048915|diap 1|diap1/thread|l(3)72CDe|l(3)72Dc|l(3)S030605|l(3)S030605b|l(3)S106503|l(3)j5C8	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310007	44831	40314	69312	65569	Dmel_CG10109	Dmel_CG10580	L	fng	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG10580|D-Fng|Dfng|Dmel\CG10580|Frg|fg|l(3)rG554	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310008	44831	40958	69312	66141	Dmel_CG10109	Dmel_CG7850	L	puc	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	0238/03|1351/08|CG7850|Dmel\CG7850|JNK-DSP|PUC/MKP|hrt|l(3)84Eh|l(3)A251.1|l(3)j4E1|vco	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310010	44831	41273	69312	66419	Dmel_CG10109	Dmel_CG17117	L	hth	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	1323/07|1422/04|CG17117|Dm-HTH|Dmel\CG17117|Meis1|P53|anon-EST:Liang-2.13|clone 2.13|dtl|hth1|hth2|l(3)05745|l(3)86Ca	Phenotypic Suppression	genetic	Singh A (2011)	21920354	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310011	44831	41925	69312	66981	Dmel_CG10109	Dmel_CG4225	L	Hmt-1	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG4225|Dmel\CG4225|EP(3)3387	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310013	44831	42428	69312	67407	Dmel_CG10109	Dmel_CG4257	L	Stat92E	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG4257|D-STAT|D-stat/stat92E|DRODSRC|DSRC|DSTAT|DmSTAT|Dmel\CG4257|Dstat 92E|Dstat92E|SD-stat|STAT|STAT 92E|Stat1alpha-like|Stat92|dSTAT92E/marelle|l(3)06346|l(3)j6C8|mrL|mrl stat92E|pSTAT|stat[92E]	Phenotypic Suppression	genetic	Wang YH (2009)	19733656	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310014	44831	42527	69312	67497	Dmel_CG10109	Dmel_CG3308	L	CG3308	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Dmel\CG3308	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310016	44831	42737	69312	67682	Dmel_CG10109	Dmel_CG4637	L	hh	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG4637|Dmel\CG4637|Mir|Mrt|anon-WO0134654.19|anon-WO0182946.19|bar|bar-3|bar3|hg|l(3)hh|l(3)neo56|l(3)neo57	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310017	44831	42822	69312	67758	Dmel_CG10109	Dmel_CG5163	L	TfIIA-S	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BcDNA:RE44302|CG5163|Dmel\CG5163|F121|TF-IIAS|TFIIA|dTFIIA|dTFIIA-S	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310018	44831	43562	69312	68418	Dmel_CG10109	Dmel_CG7920	L	CG7920	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BEST:GH02390|Dmel\CG7920|GH02390.5prime|anon-WO0153538.36|anon-WO0153538.37|i130	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310019	44831	43673	69312	68523	Dmel_CG10109	Dmel_CG2048	L	dco	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	0538/13|0915/10|1396/02|1447/01|1460/09|CG2048|CK1delta/epsilon|CK1epsilon|CKIepsilon|DBT|DBT/CK1epsilon|DCO/CKIe|Dco/CK1|Dmel\CG2048|dCKIepsilon|dco-1|ddbt|l(3)S053813|l(3)S144701|l(3)dco|l(3)dco-1|l(3)discs overgrown|l(3)discs overgrown-1|l(3)j3B9|l(3)rK215	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310020	44831	43694	69312	68539	Dmel_CG10109	Dmel_CG12054	L	CG12054	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Dmel\CG12054	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310021	44831	43718	69312	68561	Dmel_CG10109	Dmel_CG11518	L	pygo	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	BEST:LD21971|CG11518|Dm Pygo|Dmel\CG11518|anon-WO02077023.1|dPygo|gam|pNB5.2|pyg|pypo	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310023	44831	43769	69312	68607	Dmel_CG10109	Dmel_CG34403	L	pan	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG17964|CG32005|CG34403|DTCF|Dm Pan|Dmel\CG34403|Dmel_CG17964|Dmel_CG32005|IA5|LEF-1|LEF/TCF|LEF/TCF-1|LEF1|LEF1/TCF|Lef|TCF|TCF/LEF|TCF/LEF1|Tcf-1|cTCF|d-TCF|l(4)102ABb|l(4)13|pan.dTCF	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310025	44831	43873	69312	68684	Dmel_CG10109	Dmel_CG1799	L	ras	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG11485|CG1799|Dmel\CG1799|EP(X)1093|IMPDH|LD02673|LD06825|l(1)9Eb|l(1)G0002|l(1)G0056|l(1)G0098|l(1)G0127|l(1)G0238|l(1)G0351|l(1)G0380|l(1)G0388|l(1)G0391|l(1)G0436|l(1)G0482|ras-l|raspberry/impd	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310027	44831	44801	69312	69288	Dmel_CG10109	Dmel_CG5680	L	bsk	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG5680|D-JNK|D-junk|DBSK/JNK|DJNK|DJNK/bsk|Dmel\CG5680|JNK|JNK/SAPK|Junk|SAPKa|pJNK	Phenotypic Suppression	genetic	Singh A (2006)	17090721	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310028	44831	44849	69312	69326	Dmel_CG10109	Dmel_CG3978	L	pnr	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CG3978|CG3978-PA|Dmel\CG3978|GATA|GATA4|GATAa|GATAa/Pannier|dGATAa|dGATAa/pannier|l(3)89B3|prn	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310030	44831	12798482	69312	2592863	Dmel_CG10109	Dmel_CR42945	L	mir-278	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	CR33589|CR42945|Dmel\CR42945|Dmel_CR33589|EP(2)1229|EP1229|EP2316|dme-miR-278|mirvana	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2310143	44849	44831	69326	69312	Dmel_CG3978	Dmel_CG10109	pnr	L	CG3978|CG3978-PA|Dmel\CG3978|GATA|GATA4|GATAa|GATAa/Pannier|dGATAa|dGATAa/pannier|l(3)89B3|prn	CG10109|Dmel\CG10109|fee|lobe/Akt1s1	Phenotypic Suppression	genetic	Singh A (2005)	15976174	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2318927	37757	43852	63353	68671	Dmel_CG4051	Dmel_CG6741	egl	a	CG4051|Dmel\CG4051|egal	Arc|CG13505|CG6741|Dmel\CG6741|bran	Affinity Capture-RNA	physical	Vazquez-Pianzola P (2017)	27801632	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2652347	43740571	9512	4383846	114889	GU280_gp05	-	M	PMPCB	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	Beta-MPP|MPP11|MPPB|MPPP52|P-52	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.985120198	-	-	Average Spectral Counts: 9.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.985120198|SAINTexpress BFDR: 0	-	BIOGRID
2652348	43740571	10897	4383846	116103	GU280_gp05	-	M	YIF1A	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	54TM|FinGER7|YIF1|YIF1P	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.856000835	-	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.856000835|SAINTexpress BFDR: 0	-	BIOGRID
2652349	43740571	481	4383846	106971	GU280_gp05	-	M	ATP1B1	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	ATP1B	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.817625601	-	-	Average Spectral Counts: 3.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.817625601|SAINTexpress BFDR: 0	-	BIOGRID
2652350	43740571	34	4383846	106552	GU280_gp05	RP4-682C21.1	M	ACADM	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	ACAD1|MCAD|MCADH	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.724348569	-	-	Average Spectral Counts: 2.67|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.724348569|SAINTexpress BFDR: 0	-	BIOGRID
2652351	43740571	2108	4383846	108409	GU280_gp05	-	M	ETFA	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	EMA|GA2|MADD	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.718398295	-	-	Average Spectral Counts: 2.33|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.718398295|SAINTexpress BFDR: 0	-	BIOGRID
2652352	43740571	2040	4383846	108354	GU280_gp05	RP11-342H3.1	M	STOM	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	BND7|EPB7|EPB72	Affinity Capture-MS	physical	Gordon DE (2020)	32353859	2697049	9606	High Throughput	0.752971772	-	-	Average Spectral Counts: 3|High confidence interactions were identified using a two-step filtering method involving two different stringency cutoffs. Significant interactions had a final MiST score >= 0.6, SAINTexpress BFDR <= 0.05 and average spectral counts >= 2.|MiST score: 0.752971772|SAINTexpress BFDR: 0	-	BIOGRID
