GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
ZSCAN5C,0,8,0,0,0,0,2,7,14,0,0,36,11,0,17,51,0,0,0,4,0,0,0,17,0,20,27,31,32,0,13,6,7,7,11,28,6,10,0,17,14,0,74,0,17,0,0,17,0,7,0,0,10,7,0,0,5,3,4,7,42,0,11,25,15,0
MYO18B,63,16,21,0,6,0,197,0,16,0,329,223,0,4,21,208,10,0,127,93,7,16,0,320,0,626,53,30,84,0,39,123,536,36,79,7,74,22,27,0,37,215,151,7,0,140,2203,25,9,75,81,10,0,207,12,0,399,426,0,0,550,0,256,35,185,0
TTYH1,192,142,114,124,571,266,25,132,83,20,81,246,16,128,240,93,93,169,79,91,84,34,142,80,72,31,268,137,183,28,38,14,23,81,194,27,16,30,131,31,42,81,27,93,20,178,74,21,133,442,114,214,157,27,127,27,124,0,152,40,152,90,16,207,6,79
HEMGN,5063,4769,1161,2024,2200,13604,1760,2429,5881,663,4939,5973,3760,6386,7033,2115,7627,9613,2121,3820,4221,2607,3049,4561,3157,13767,2103,2404,2995,4082,2643,3392,14592,2876,2308,4633,3065,1734,4132,3556,6975,6118,944,11626,4125,3187,14525,2377,9536,15575,7820,10581,27132,5672,3945,2943,4698,4779,263,5049,6025,2632,4090,2452,7723,6889
NAT10,10375,6758,11875,10816,10013,10397,7978,9796,17640,4318,12987,4432,10189,12823,6477,1840,11239,4349,13033,10742,11253,10899,22122,10935,6557,12302,13276,5470,12143,8868,10284,9686,8712,5960,7166,11532,6132,11904,8212,8546,11036,12709,1607,17316,7890,11880,13433,9735,8889,15780,12025,7205,13538,8568,11658,8542,11942,6555,8902,9573,11258,7008,8327,7983,9131,11199
ADAM12,48,95,20,159,80,69,17,49,31,0,118,96,104,64,99,165,32,20,32,68,26,29,12,14,44,149,72,63,61,32,33,34,44,41,19,78,102,212,46,46,116,83,183,274,45,46,90,51,453,85,112,40,0,68,64,43,38,22,131,27,159,23,31,109,86,142
DCTD,4765,2946,4763,4446,4804,6149,3761,3549,7972,1258,4497,2278,4131,3206,4247,830,5143,2816,4078,3258,4366,3809,5947,4349,2744,4904,2602,2184,4586,3090,3730,2815,3809,4127,3656,3560,2690,5068,3247,1718,4891,4999,568,8059,2991,3852,4888,2014,5523,6106,3868,4063,4684,4441,4226,4927,4257,3326,3218,3468,3804,2708,3814,2674,4646,6072
PLEKHA6,787,164,298,582,306,2036,283,165,394,220,436,928,1125,790,777,290,1118,1769,505,1218,267,286,546,787,185,498,795,434,823,616,431,513,238,300,336,779,389,587,603,330,2930,4322,316,758,3637,521,732,1340,714,3005,881,3313,388,1086,304,500,259,269,914,1677,398,356,402,1036,553,379
REXO4,4458,3369,4428,3653,4318,3979,2534,2627,7434,1315,3633,2067,5214,4634,4304,772,3827,2833,3468,3173,3961,3064,6533,3074,2346,4862,3358,1991,4179,2964,2877,3333,3090,2222,2584,4102,2260,3430,3143,2446,4411,6580,755,5204,3150,3775,3643,2941,2908,4666,4690,4666,5433,4104,3242,4128,3304,3096,3920,3329,4378,2176,3206,2770,4699,4063
ZNF780B,3261,5149,2689,4266,3865,3896,1248,4531,4506,1411,3199,4233,4302,4602,2984,1272,5393,6950,2265,3402,2072,2502,4759,4424,6059,1580,3037,2605,4220,3947,1714,3102,2946,2599,3591,2996,1413,3861,2095,2869,4486,2266,524,6613,3847,3298,3386,1940,4118,4815,4786,5478,5098,3881,4569,4919,2701,1222,3137,2963,3302,4409,2881,2858,3165,5740
ABHD1,121,142,91,164,187,243,82,130,224,33,76,131,170,164,209,120,170,185,67,174,90,71,231,156,92,108,110,92,177,75,80,119,82,97,99,49,52,119,69,76,81,97,134,154,252,137,53,105,99,226,277,344,123,142,137,283,53,83,100,183,118,198,126,80,206,136
NRSN2,442,416,597,616,440,468,335,181,695,90,1121,82,318,274,1042,203,214,122,358,804,424,559,1539,550,217,389,99,413,227,600,462,545,512,395,262,359,284,348,454,213,322,360,233,793,483,879,287,673,1245,443,1229,485,197,441,366,395,695,340,128,315,462,306,617,210,223,319
C1orf106,56,5,319,19,162,0,10,105,478,105,93,82,52,145,34,110,45,3,32,49,59,149,107,22,22,111,154,83,63,47,99,58,102,16,42,65,43,138,34,16,151,535,108,23,316,119,64,89,51,65,20,8,28,218,34,20,98,9,285,82,99,32,100,43,76,121
TEX22,425,585,426,556,748,299,143,273,273,150,121,561,478,532,1297,113,300,229,196,605,282,70,883,408,443,457,249,218,571,240,219,454,333,230,668,242,139,216,292,795,316,258,85,399,674,447,197,103,189,412,587,726,561,390,324,474,66,147,151,479,480,424,436,523,579,365
ZNF572,404,559,532,293,503,921,158,1206,720,88,413,312,613,762,636,130,828,763,405,502,565,548,1278,537,546,305,467,418,440,478,312,451,371,408,495,460,247,479,578,248,804,980,125,641,496,472,454,133,780,1142,1030,912,650,482,637,1171,397,233,383,435,380,385,409,352,374,701
CEP126,548,190,546,1066,714,1819,832,910,1229,420,659,586,840,865,1395,296,955,1532,978,712,297,307,1141,1191,733,436,405,159,576,735,714,572,499,1032,827,230,304,627,296,69,64,165,181,1334,1246,731,587,563,951,1314,1573,1449,713,406,932,1170,792,332,114,937,906,950,658,326,562,785
CD99,4034,3357,6075,2807,9155,3662,6696,8633,5287,2863,5598,6754,4329,5177,5804,1366,4338,1712,9982,3956,6179,3392,4067,9419,11148,4715,4543,5175,4569,4047,4282,3972,2411,4643,8015,7377,2692,5276,7844,4885,4188,2750,544,4185,3108,2294,3194,2788,2372,2716,4026,1998,7508,4632,4324,7334,3640,2242,4968,6016,3403,3432,2143,1873,10224,6052
ZNF891,3086,2927,2351,4241,4823,4324,1892,2867,2933,1583,2108,3135,2597,3385,4014,1135,3825,3532,2683,1384,3176,2233,2995,5005,3933,2009,2062,2753,3052,2696,2958,2745,2039,2198,2742,2614,834,1691,2871,2149,3298,2316,563,3787,3975,1748,1581,1657,2172,2818,2924,3238,3330,2846,2170,5419,1596,1382,1760,2989,2294,1950,2381,1487,3052,3225
ZNF781,198,229,73,350,375,526,100,245,386,121,169,209,385,549,672,104,350,445,221,146,409,109,464,410,175,293,83,100,180,193,290,174,171,169,130,60,126,137,208,59,422,281,73,360,285,243,64,115,210,298,408,393,267,184,160,467,222,138,354,295,180,251,202,224,230,363
FAM114A1,410,218,350,244,457,253,150,228,428,61,517,151,692,318,381,229,574,162,187,351,266,506,243,198,409,525,376,303,341,366,274,300,362,140,155,654,336,244,208,381,356,359,175,149,651,365,266,278,306,596,375,163,125,574,305,368,313,441,468,619,480,396,443,358,451,726
RPL31,58843,34928,53992,55283,64390,71897,60252,33658,85822,13186,43022,22826,80173,99261,38792,10813,52254,36507,67670,39108,111280,33900,84219,57926,30681,72995,23871,16400,46728,50800,54867,47040,47173,36948,28204,54621,33351,41366,44793,24525,39711,79986,6895,111113,42947,52658,32036,45376,22550,80853,72843,56604,66053,48392,29388,73453,45169,42162,61698,67606,51950,47107,47541,30225,44733,68216
CCDC184,48,37,61,61,104,303,76,171,19,58,124,74,31,113,44,139,93,49,53,114,8,14,7,109,50,40,41,38,46,10,4,47,30,60,40,7,43,79,30,43,79,4,86,137,347,155,7,18,162,81,430,60,188,43,142,49,3,8,67,23,58,13,29,23,38,26
PPP1R14C,20,5,79,7,8,4,18,2,3,4,83,15,3,3,84,31,7,10,30,9,26,38,11,40,23,11,70,42,15,17,11,53,6,28,15,9,36,12,65,44,13,66,67,0,12,0,22,13,210,5,9,3,1042,9,113,0,10,22,10,0,3,0,0,63,43,21
FGF2,31,15,21,56,146,31,11,116,31,0,450,32,27,20,53,46,146,22,11,93,13,192,2341,29,135,61,74,53,64,50,23,68,121,23,38,78,100,19,22,16,227,273,60,20,42,104,1348,68,7294,22,37,45,23,73,247,27,364,51,45,41,319,16,192,133,31,234
