GENE_NAME,V1884,N58,V630,N60,V1297,NV1428,N82,V940,V2092,V624,V777,V553,V1441,V1921,V538,V1857,V456,NV912,V2089,V1823,V2241,N54,V655,V2110,V839,V125,N83,V637,V712,NV911,V2133,V1742,V1591,V108,V1874,V221,V148,N70,N87,V574,V359,V1337,V883,V1592,V1422,V1708,V1505,V18,V1788,V1776,N84,V1800,V716,N86,V888,V1321,V1279,V1528,V344,N85,V1699,V1456,V1394,V714,V67,V1090,V1860,V406,V1834,V1048,V806,V513,V1565,V1920
MIR4793,1,1,1,1,1,1,1,4,3,1,3,1,1,1,3,1,1,2,2,1,3,1,2,1,0,4,3,2,0,2,6,2,2,5,2,1,7,0,3,1,3,1,3,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,4,2,2,3,2,1,2,0,1,1,4,4,3,1
MIR1273E,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIR5585,6,3,3,14,2,3,1,0,1,7,2,21,4,2,3,1,2,1,3,5,3,5,6,7,3,6,5,0,4,1,2,1,6,4,4,3,3,3,1,3,3,1,3,3,4,2,0,1,3,0,2,1,14,6,1,5,2,0,5,1,5,1,1,14,4,1,0,3,6,7,3,9,5,4
MIR675,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
MIR4318,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR4668,6,4,9,3,2,2,2,8,6,0,1,14,1,2,3,1,3,2,3,2,5,8,5,5,1,5,0,5,4,5,1,9,2,12,0,3,8,4,0,1,4,16,6,2,4,6,0,8,7,3,5,1,2,4,5,5,2,3,1,4,5,0,2,5,5,2,2,0,0,3,6,2,3,1
MIR7702,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
MIRLET7A1,6,6,7,1,12,18,3,7,7,3,7,6,15,15,22,3,5,14,12,5,6,8,3,3,17,4,14,17,0,6,0,11,7,4,12,16,1,10,1,1,5,13,6,24,8,18,5,6,15,3,8,15,3,4,4,4,9,6,9,4,8,4,6,0,3,15,0,15,12,9,11,5,2,17
MIR3689B,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,2,0,0,4,2,1,0,4,1,0,0,4,0,3,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,3,0,3
