GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
UNG,7376,2823,9340,7110,4470,4180,5033,6344,14077,1374,9481,1758,7740,5723,2815,1123,7348,1263,8966,6404,5459,8462,10916,7220,3137,9277,5051,2880,8442,6100,6579,5964,6415,4974,3880,7498,4647,7881,5295,1700,5275,7460,933,5661,3263,6481,8356,7962,4832,7597,6383,2508,5586,7797,6706,4819,4116,5820,3772,4491,7387,2279,7480,2776,6246,8380
PDE4B,3429,3706,5386,569,15693,1400,6436,4711,1262,68,5588,6020,1059,2583,1971,1021,2389,1563,23545,581,6238,1060,640,28075,7118,1744,5082,1893,845,1756,2864,2162,1946,14192,3935,1895,1507,975,7294,2469,10874,3738,256,2968,4405,618,674,1112,3011,1293,1019,1994,12356,1667,739,394,2996,2665,2718,438,952,244,1725,669,4532,2662
FANCA,9614,5312,6128,7388,5527,4350,4973,5456,8806,1653,6232,2526,6053,4480,4688,1427,6711,1727,6806,6207,5477,7756,7504,5680,3749,7704,5642,2702,8987,4492,4636,4996,6738,4576,6580,7470,3077,7527,5592,3933,7035,8326,1183,6921,4540,8358,9428,6053,7181,5127,5169,3420,5620,7510,6271,5089,4951,3900,4666,5345,8681,3032,7177,4035,9782,8459
TANC2,5894,4091,2316,5776,9242,4329,3255,4783,16636,1481,5625,2382,7228,5133,6061,1962,4695,5369,5556,5955,7116,6831,10014,3880,2231,7123,3843,3995,6137,5246,5594,3693,4709,4905,3072,5498,3406,3222,5031,524,662,2071,925,4106,4715,6777,4717,5857,4380,7758,6203,5933,3273,5394,6328,5934,6785,4870,3902,6259,6833,4968,6358,8330,4907,6589
KDM5D,3,0,31,6699,0,9992,0,0,7957,2265,0,5089,10194,0,8568,27,9547,0,0,7508,14075,0,9236,11136,0,9729,0,5937,8049,0,0,0,0,0,16229,0,4279,8077,9485,17730,11954,9860,1541,245,0,8079,62,6797,4,12542,0,8898,0,7760,0,0,0,82,0,9707,8655,8871,8656,0,14367,0
TMED3,7218,4666,4930,4802,5925,5100,4226,3856,10789,1362,6508,2892,7724,8652,5461,1428,5644,4299,4605,5466,7425,6723,9887,5025,2315,7284,2752,5043,5815,4302,4756,4146,4729,3021,2889,6000,3129,2987,3581,1742,3971,8058,1499,7599,5646,5391,5615,4600,6082,6844,5823,5644,7749,7702,4760,6829,5441,4623,5936,7355,5465,4478,6139,3224,5444,6513
AHNAK,39781,3785,3488,86159,32836,36129,3836,5187,4116,6518,58871,2465,7910,2792,67934,25142,3708,56469,108209,55085,81679,46199,1852,131549,171076,80501,9634,97094,41254,65484,55778,33373,29315,108841,31123,100718,29560,42800,125928,180575,2688,36185,6553,97435,3519,3417,21756,45329,1359,6199,75347,3199,8078,3761,33797,28238,47208,30105,164576,27703,36136,18924,29790,7413,42868,7258
LAMB2,5967,3370,2920,2229,283,564,3917,3261,5689,877,1704,461,8906,5247,165,1269,4667,36,2553,4078,1056,1450,4166,4195,1550,4058,611,1321,5133,3538,2124,3473,2096,3112,3875,688,2062,5793,1852,3984,455,8261,692,7383,8071,3748,1980,5009,1774,889,5454,792,53,9146,1895,3761,199,1791,2516,7561,3180,5653,820,3139,4791,3044
TMEM107,5476,2723,2338,5543,2259,3537,4250,8652,1703,2939,4040,6003,2485,9621,937,760,4222,2057,3339,1141,11825,1948,3260,2899,3262,3944,1095,528,1435,3271,3785,2364,3037,2558,1807,2237,3117,2939,2247,438,12219,1987,1670,7252,4184,2060,1809,2496,2964,3369,4163,3394,1728,4368,2393,3790,7122,1208,3975,4226,4204,1791,4558,841,4167,6044
CPXM1,11109,8157,7104,11869,14403,11978,9605,11368,22414,3532,11130,4177,13190,16278,15394,1249,11179,4580,11316,15251,11445,13131,21851,13078,9951,11357,11833,4974,16124,8482,9097,8547,8193,7494,9115,6795,4965,10771,7968,3027,10425,11107,1799,13688,10185,15484,9585,10746,14207,14308,12610,8284,18066,8019,10761,13445,15231,5288,6144,11640,10571,7845,9079,10078,8985,11017
NASP,10900,8387,11788,14059,11292,7357,16287,10507,15531,4790,18277,5500,9522,12027,9186,3360,15612,4090,21467,10367,12775,16528,19586,17926,9779,11106,12026,7728,13347,12283,12702,11302,10607,15483,14783,10754,5245,11546,12405,6047,11208,12657,2053,11481,13369,12975,14206,12999,13662,13007,8846,4984,6986,9550,12626,10999,13433,8804,8238,11072,10704,6693,8727,9965,12555,11796
HLA-DMA,7084,6273,4333,6705,8407,6441,5422,4843,3625,711,4314,3885,5214,5037,2956,1810,9142,3952,6809,4822,5867,1989,1873,7338,4871,3560,2948,5271,4710,2948,3967,2891,1367,5603,3138,5022,2654,3852,8124,1924,4514,4252,352,9173,1608,3657,3739,1700,4718,7534,6753,6450,9191,2714,4069,8297,5433,2961,6633,1904,4769,3620,2063,2033,2847,13764
UBC,8918,10888,11535,13260,32484,28625,11606,47943,14227,3942,15417,12478,11087,34079,21293,15329,20017,20057,8249,9460,8078,15548,49337,44172,9039,21433,7978,5001,18501,11736,18378,6966,14211,8065,9364,45444,7871,14092,10245,8825,20443,13050,7894,58983,27378,37640,9270,43060,14307,13369,13076,3924,13794,36906,6095,9812,8045,15558,36415,32771,7964,24646,34182,4580,19059,64449
ATP7B,2922,58,1320,2740,2456,2344,1468,1649,10608,729,9594,423,2899,1251,2678,832,2917,353,1648,3045,3044,7486,16458,1986,853,5872,1396,432,3832,2626,2353,2086,4813,1396,1122,3171,1666,1768,2249,280,1612,3501,746,1647,2781,4187,7646,3426,5878,1546,2556,1145,3303,1389,4880,3290,3942,3333,331,2997,5124,1900,4666,4837,2587,4544
KIAA1147,15468,16119,6332,14318,19979,23319,11005,17555,8487,5113,15627,16103,11235,18152,8745,6657,25887,20376,15829,14565,21921,6080,7682,19855,19801,9359,7231,9338,12791,16140,15301,8936,6502,13911,5433,12957,5424,13727,11653,3772,19171,16186,1102,23785,6723,13370,8155,6583,9970,28813,21971,22997,14373,12298,9682,26396,12944,10914,16930,6861,15602,14158,6566,3252,8440,22029
CFD,5534,1380,3001,10123,3987,180,1986,5279,2584,570,2288,3182,6731,21802,390,738,3285,94,4354,2766,1447,1213,11755,1348,5297,13522,479,1945,4995,3662,3076,3723,1185,1406,1069,17536,3116,2810,2868,1239,14703,35302,171,1983,11751,3211,720,4957,919,2846,2411,829,501,7035,690,17898,2316,5721,77037,6862,4069,4349,2173,1720,2416,4395
PNRC2,10748,8322,2968,9812,12102,11802,9448,11574,3321,3490,14595,5607,3151,13432,2024,3025,13415,7160,11180,7254,15646,1685,1647,11518,8552,2820,2828,7202,9066,11239,10948,2724,1578,11123,2068,9993,1666,10448,11520,1119,11438,15112,557,15209,1464,9545,12643,2538,7593,15466,13402,9545,3026,1572,11777,13533,13279,1269,12974,2046,11874,7561,1616,6519,2836,18955
NECTIN1,8539,796,5140,4178,2310,1463,3097,1949,19696,2319,13120,893,6491,5812,965,952,5574,812,4930,6809,4463,12333,22619,2950,1488,13360,5829,8747,9143,4263,4677,3996,10030,2917,2188,8065,5240,4776,3124,1075,4756,14959,1260,3926,2931,9648,15137,9208,4939,3383,4366,1957,1407,4804,7425,3276,8599,9899,3175,3654,16395,1821,10203,4633,7321,9947
MAN1A1,22526,42298,24903,16681,24790,32691,20250,41031,31444,10031,31408,46013,26250,30120,11786,7518,21067,26056,37775,16675,39122,21603,28099,30893,59897,32110,42932,11117,21130,20730,21251,21769,23872,20630,20258,20514,11103,38912,49571,13223,28116,49854,2707,43983,22788,18218,27151,21055,17975,38139,28610,36806,78939,16859,25673,69526,27888,19942,28519,27265,19298,23315,20357,11510,34815,47456
HLA-E,57606,54203,24226,33982,88778,60163,52481,30740,35654,12805,43956,40096,35024,62309,24466,15007,93754,62990,53098,54782,64111,8210,22637,61401,36711,27209,20223,63540,44234,38203,31498,18779,15058,79600,17688,37904,21005,37179,54793,14367,39747,58930,4795,60823,18930,44346,40582,13707,92941,73047,85175,119891,54454,25653,35668,94206,41317,27791,64754,12242,73257,25659,17365,41498,23598,41178
