GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR6887,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MIR1183,8,8,9,3,3,11,6,4,2,3,0,2,4,0,5,9,2,0,6,15,8,7,3,6,5,3,2,1,8,5,5,0,14,5,7,2,7,8,6,14,6,8,0,7,1,2,7,0,0,5,3,15,5,5,4,9,4,6,4,4,4,2,8,1,8,0
MIR5706,10,22,8,17,7,4,3,8,11,7,2,11,4,5,9,3,12,5,15,7,6,5,16,8,7,14,3,5,18,12,6,8,10,12,17,9,2,6,10,28,9,3,2,6,9,5,9,14,9,12,7,8,8,10,11,19,8,4,10,24,2,11,8,6,14,5
MIR5196,6,2,10,1,1,1,4,1,1,3,3,1,1,2,2,6,4,2,23,3,1,1,1,12,1,3,4,3,7,1,3,2,1,8,17,3,6,1,2,9,3,23,3,1,0,1,2,3,1,2,2,1,3,1,3,1,1,1,1,1,5,3,2,1,27,2
MIR3912,1,0,2,2,3,4,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,3,1,0,1,1,0,0,2,0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,3,1
MIR5006,1,1,1,5,7,2,1,1,12,2,4,13,1,4,2,7,6,1,4,5,2,4,2,4,1,3,6,1,3,7,6,4,3,2,5,4,3,7,4,5,4,5,1,1,4,4,12,5,3,5,13,3,8,4,4,7,10,6,4,4,10,6,5,6,7,1
MIR205,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
MIR1273D,6,3,2,1,2,0,2,1,2,1,3,7,2,2,3,5,1,3,5,1,2,2,2,1,0,5,10,0,1,5,4,4,1,4,0,4,4,1,6,11,12,4,1,2,6,8,2,11,3,2,4,3,1,4,8,2,3,4,4,5,1,3,0,1,11,6
MIR1224,1,3,2,4,1,0,0,0,4,0,2,2,1,2,2,2,1,1,2,7,0,0,9,2,0,0,0,0,3,0,0,4,0,0,0,2,2,3,1,4,0,0,5,3,0,9,3,0,0,3,3,4,1,1,0,5,0,0,4,0,0,2,2,3,3,0
MIR4424,0,0,0,0,1,2,0,3,0,0,0,1,0,3,5,1,0,0,1,0,0,2,5,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1,4,0,0,0,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
MIR455,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,11,0,0,0,0,2,0,0,1,0,0,0,0,0,0,12,0,0,0,3,0,0,0,1,0,3,0,2,0,0,0,0,0,0,2,2,1,0,0,0,4,2,3,6,0,9,0,3,3
MIR124-3,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0
MIR195,1,0,0,2,1,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
MIR625,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,1,3,1,1,2,2,2,0,0,1,0,0,3,1,2,0,1,0,1,0,3,2,0,1,1,3,1,1,1,1,0,2,0,1,0,1,0,2,0,1,1,4,2,1
MIR1324,8,0,1,1,1,1,1,4,1,0,1,1,1,3,1,2,1,1,2,7,1,0,0,7,1,3,0,1,10,0,1,2,0,7,1,1,1,0,2,3,0,1,1,1,0,2,1,0,1,6,5,1,1,0,0,1,2,0,1,2,1,7,0,1,1,2
MIR548AZ,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIR548A3,1,5,6,1,5,1,2,11,5,0,2,0,0,6,2,8,13,5,1,4,3,2,4,8,5,3,17,11,4,8,5,6,3,1,0,0,3,7,7,10,6,8,8,2,3,1,1,3,18,7,0,8,10,3,8,10,5,2,6,4,1,2,1,7,7,0
MIR3180-5,7,9,4,12,0,7,4,2,0,8,2,6,2,8,12,2,7,5,9,8,1,5,7,11,2,7,11,3,5,3,0,8,10,7,5,3,6,11,1,10,0,8,3,21,9,6,0,8,5,10,8,15,20,4,10,3,2,1,0,8,15,8,7,6,18,7
MIR651,5,3,0,9,0,3,3,1,2,0,10,0,2,0,0,0,0,3,3,2,0,1,4,1,6,2,1,0,3,2,0,2,1,2,0,5,0,5,0,0,9,2,0,1,3,0,1,1,0,0,0,1,2,4,7,0,0,2,0,7,0,3,1,5,1,0
MIR4466,23,0,17,6,4,3,22,8,7,5,2,5,13,8,16,1,2,3,4,10,4,2,4,9,6,17,20,5,14,9,4,3,5,13,18,3,5,0,3,16,2,9,6,4,2,6,2,5,3,8,8,19,16,2,10,2,5,0,6,22,16,10,0,11,4,0
